article_id,article_published_at,consolidated_event_tags,consolidated_event_type,consolidated_factor_name,factor_category,event_tag_category,factor_magnitude,factor_movement,article_source_credibility,market_perception_intensity,causal_certainty,ai_assessment_business_impact_likelihood,ai_assessment_competitive_risk,ai_assessment_execution_risk,abs_change_1day_after_pct
art_0010,2024-09-12T14:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,8.604607763806447,-1,8.649740931329188,7.2,0.75,0.8,0.6,0.4,0.891842908805148
art_0011,2024-09-12T10:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,7.24432494115828,1,8.722420899965375,8.9,0.85,0.9,0.3,0.2,3.5862754007592574
art_0012,2024-09-13T13:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,5.85200354983188,1,8.637325706457236,7.2,0.75,0.8,0.6,0.4,-3.6913275744244856
art_0013,2024-09-13T16:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,7.470099211042378,-1,9.63518322370527,8.9,0.85,0.9,0.3,0.2,2.516816762076038
art_0014,2024-09-14T11:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,9.443028453679968,1,8.331604590667046,7.2,0.75,0.8,0.6,0.4,-4.065081386157727
art_0015,2024-09-14T09:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,7.908673822977271,1,9.267288393648403,8.9,0.85,0.9,0.3,0.2,-0.33383267618503076
art_0016,2024-09-15T09:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,8.778873827269724,-1,8.257439628368791,7.2,0.75,0.8,0.6,0.4,3.6355237581051725
art_0017,2024-09-15T15:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,6.338485734326679,1,9.124616697249072,8.9,0.85,0.9,0.3,0.2,0.7249546740069555
art_0018,2024-09-16T09:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,8.024217501043601,-1,8.959211233030349,7.2,0.75,0.8,0.6,0.4,0.8144592259378713
art_0019,2024-09-16T15:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,6.2024933297009746,1,8.109719624123318,8.9,0.85,0.9,0.3,0.2,-3.983838868916336
art_0020,2024-09-17T10:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,7.635677051971843,-1,9.410649149026924,7.2,0.75,0.8,0.6,0.4,1.1028241660446048
art_0021,2024-09-17T12:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,8.91064348080702,-1,9.104847424827838,8.9,0.85,0.9,0.3,0.2,-2.4615977387707035
art_0022,2024-09-18T14:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,6.863883446805535,-1,9.23518553135103,7.2,0.75,0.8,0.6,0.4,1.0802530129476775
art_0023,2024-09-18T13:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,9.290474780980214,-1,9.823976818589939,8.9,0.85,0.9,0.3,0.2,2.4369377389149403
art_0024,2024-09-19T12:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,6.824685358369306,-1,8.316122958013256,7.2,0.75,0.8,0.6,0.4,4.042361017997697
art_0025,2024-09-19T10:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,9.485971212016116,-1,8.459821337922381,8.9,0.85,0.9,0.3,0.2,-1.3522885284367159
art_0026,2024-09-20T14:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,6.406925519392843,-1,7.559028231374672,7.2,0.75,0.8,0.6,0.4,1.6993864044737519
art_0027,2024-09-20T09:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,9.200991420952091,1,9.434499417294148,8.9,0.85,0.9,0.3,0.2,-2.509755798208647
art_0028,2024-09-21T10:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,8.490609969724076,-1,7.543487663776572,7.2,0.75,0.8,0.6,0.4,3.8835310895218065
art_0029,2024-09-21T16:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,8.02369264644277,-1,9.365815224568685,8.9,0.85,0.9,0.3,0.2,3.3665045488063345
art_0030,2024-09-22T13:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,7.427491342251722,1,8.824431955368805,7.2,0.75,0.8,0.6,0.4,4.43233538377501
art_0031,2024-09-22T15:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,6.230738660916004,-1,8.763969746222422,8.9,0.85,0.9,0.3,0.2,0.7861193944326752
art_0032,2024-09-23T11:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,9.43219434171342,1,8.931636800636849,7.2,0.75,0.8,0.6,0.4,-4.775218018060832
art_0033,2024-09-23T14:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,9.931606375636548,1,8.740905715560809,8.9,0.85,0.9,0.3,0.2,0.9095536379037172
art_0034,2024-09-24T12:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,7.237448285007992,1,9.075170679587504,7.2,0.75,0.8,0.6,0.4,-1.7567820666630931
art_0035,2024-09-24T15:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,7.1007042914267755,1,8.731854382884096,8.9,0.85,0.9,0.3,0.2,4.69803683924926
art_0036,2024-09-25T09:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,6.7596019697880045,-1,9.343974300429593,7.2,0.75,0.8,0.6,0.4,-0.5151018837418642
art_0037,2024-09-25T13:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,6.242027825657374,-1,8.260566700248287,8.9,0.85,0.9,0.3,0.2,-1.1110197438686553
art_0038,2024-09-26T13:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,6.948583490910387,1,8.799561317977254,7.2,0.75,0.8,0.6,0.4,-1.6843190290306955
art_0039,2024-09-26T11:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,7.471136015555421,1,9.055322989482463,8.9,0.85,0.9,0.3,0.2,1.4034201367167363
art_0040,2024-09-27T11:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,7.080280618804625,-1,8.38003590362021,7.2,0.75,0.8,0.6,0.4,-0.6122751082899551
art_0041,2024-09-27T12:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,6.560797533476805,1,8.247506223810381,8.9,0.85,0.9,0.3,0.2,-1.8278944784229112
art_0042,2024-09-28T13:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,6.695201533237196,-1,8.310889966200072,7.2,0.75,0.8,0.6,0.4,1.3212621631413777
art_0043,2024-09-28T13:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,6.480275794078176,-1,9.450998527218509,8.9,0.85,0.9,0.3,0.2,-4.254889723883687
art_0044,2024-09-29T13:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,8.280215438101562,-1,8.314958578810424,7.2,0.75,0.8,0.6,0.4,1.4006259938360754
art_0045,2024-09-29T11:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,7.748192535461593,-1,9.071692223146188,8.9,0.85,0.9,0.3,0.2,4.560543266699696
art_0046,2024-09-30T14:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,8.939100137808058,1,7.540316803593593,7.2,0.75,0.8,0.6,0.4,-2.555788859725361
art_0047,2024-09-30T11:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,9.954021122029443,1,8.502761630293547,8.9,0.85,0.9,0.3,0.2,2.3480950090637274
art_0048,2024-09-31T10:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,8.70248120133084,1,7.8256514466979725,7.2,0.75,0.8,0.6,0.4,-3.7702255833567855
art_0049,2024-09-31T09:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,8.119925214212646,-1,8.498617986703392,8.9,0.85,0.9,0.3,0.2,0.20135112226518626
art_0050,2024-09-32T14:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,5.82155345083714,1,8.65724173302555,7.2,0.75,0.8,0.6,0.4,0.26600194673066113
art_0051,2024-09-32T12:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,8.110232247188737,1,9.516790474100643,8.9,0.85,0.9,0.3,0.2,0.45839016213314654
art_0052,2024-09-33T13:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,9.478588571665131,-1,8.692391036596794,7.2,0.75,0.8,0.6,0.4,-3.3313610089805303
art_0053,2024-09-33T14:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,6.890517189809138,1,8.638598241784454,8.9,0.85,0.9,0.3,0.2,2.9577021004833703
art_0054,2024-09-34T15:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,8.396163639995205,-1,9.03899337117868,7.2,0.75,0.8,0.6,0.4,1.5286772750935036
art_0055,2024-09-34T14:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,9.337993435143373,1,9.004711428394934,8.9,0.85,0.9,0.3,0.2,4.322390547992914
art_0056,2024-09-35T11:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,6.429175487874083,1,9.330516056887403,7.2,0.75,0.8,0.6,0.4,2.927801346208023
art_0057,2024-09-35T16:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,6.74577611332423,1,8.868850608008602,8.9,0.85,0.9,0.3,0.2,-1.743446617592629
art_0058,2024-09-36T13:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,5.782594303754765,-1,7.519435599824682,7.2,0.75,0.8,0.6,0.4,2.0521002780744606
art_0059,2024-09-36T15:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,6.790070945483738,1,8.24318273212252,8.9,0.85,0.9,0.3,0.2,2.7208917280140668
art_0060,2024-10-07T16:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,8.408176053374364,1,7.853626141594834,7.2,0.75,0.8,0.6,0.4,-0.06237348628811468
art_0061,2024-10-07T14:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,6.297006218810374,-1,9.334539247943487,8.9,0.85,0.9,0.3,0.2,-3.4324974928908114
art_0062,2024-10-08T10:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,7.016317244731101,1,9.427304979388536,7.2,0.75,0.8,0.6,0.4,3.226110228511784
art_0063,2024-10-08T15:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,6.953847966537241,1,9.952140291465192,8.9,0.85,0.9,0.3,0.2,-1.3453976045169358
art_0064,2024-10-09T11:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,9.22589323046664,1,9.480066579980477,7.2,0.75,0.8,0.6,0.4,-3.5786558571810545
art_0065,2024-10-09T11:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,9.037459024395346,1,9.694581037954435,8.9,0.85,0.9,0.3,0.2,2.859333908533218
art_0066,2024-10-10T14:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,6.086113937942521,1,7.616132891735546,7.2,0.75,0.8,0.6,0.4,1.7419972709679303
art_0067,2024-10-10T14:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,7.055186023480528,-1,8.16353354786071,8.9,0.85,0.9,0.3,0.2,3.8872358297957206
art_0068,2024-10-11T12:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,9.461127180171221,-1,7.564460565376354,7.2,0.75,0.8,0.6,0.4,-0.8109429904106449
art_0069,2024-10-11T12:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,6.799449211547669,1,9.538308793903335,8.9,0.85,0.9,0.3,0.2,-4.196189130349328
art_0070,2024-10-12T12:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,9.337930851319022,1,7.591638112191492,7.2,0.75,0.8,0.6,0.4,0.3517329256761439
art_0071,2024-10-12T09:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,8.77696773631147,-1,8.591106067823056,8.9,0.85,0.9,0.3,0.2,1.3990472821192466
art_0072,2024-10-13T11:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,8.208678960326376,1,8.322563700224322,7.2,0.75,0.8,0.6,0.4,-0.2780309077309582
art_0073,2024-10-13T16:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,8.453041951257308,1,9.088628313863246,8.9,0.85,0.9,0.3,0.2,-0.8814940450607107
art_0074,2024-10-14T16:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,9.310463275272289,-1,8.215730713692064,7.2,0.75,0.8,0.6,0.4,4.717118915261876
art_0075,2024-10-14T13:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,8.217620641105313,-1,9.512636545231038,8.9,0.85,0.9,0.3,0.2,-1.9295668538742197
art_0076,2024-10-15T10:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,6.720051297891626,-1,7.56120857444783,7.2,0.75,0.8,0.6,0.4,-0.5442683741284116
art_0077,2024-10-15T11:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,8.91044091333158,-1,8.957672034042808,8.9,0.85,0.9,0.3,0.2,4.697121715584267
art_0078,2024-10-16T09:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,8.570521243915602,1,8.544117984518257,7.2,0.75,0.8,0.6,0.4,-2.71174812121848
art_0079,2024-10-16T11:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,6.7449761103238135,-1,10.0,8.9,0.85,0.9,0.3,0.2,-0.9237954641335993
art_0080,2024-10-17T09:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,6.485973057848801,1,7.853190918108776,7.2,0.75,0.8,0.6,0.4,-4.814473428726533
art_0081,2024-10-17T15:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,8.90790317470985,1,8.368733566461549,8.9,0.85,0.9,0.3,0.2,-4.392111444245662
art_0082,2024-10-18T12:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,5.674728082210567,1,8.858705833009388,7.2,0.75,0.8,0.6,0.4,-3.215252639097137
art_0083,2024-10-18T16:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,10.09940162307042,-1,9.524618039299764,8.9,0.85,0.9,0.3,0.2,3.3680645067116792
art_0084,2024-10-19T09:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,6.282548058955445,1,8.424775265646412,7.2,0.75,0.8,0.6,0.4,-1.0175282049874088
art_0085,2024-10-19T15:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,6.338035921458555,1,9.847893690688823,8.9,0.85,0.9,0.3,0.2,-1.6258503724226236
art_0086,2024-10-20T14:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,7.168289116979771,1,7.8511531001158525,7.2,0.75,0.8,0.6,0.4,-0.9141022238324235
art_0087,2024-10-20T15:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,9.439015390414088,-1,8.828628957905638,8.9,0.85,0.9,0.3,0.2,2.5325710378775455
art_0088,2024-10-21T09:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,8.680195663602088,1,9.075152429352306,7.2,0.75,0.8,0.6,0.4,1.6076390210677518
art_0089,2024-10-21T14:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,10.086601253389395,-1,8.397004958356073,8.9,0.85,0.9,0.3,0.2,-2.272467386365782
art_0090,2024-10-22T13:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,8.621836700161186,1,7.570787918620196,7.2,0.75,0.8,0.6,0.4,-3.5875172326331684
art_0091,2024-10-22T09:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,8.431456955958206,1,9.484909359312386,8.9,0.85,0.9,0.3,0.2,-3.567784942282098
art_0092,2024-10-23T13:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,8.747934051763577,-1,9.196705424098932,7.2,0.75,0.8,0.6,0.4,-2.254270273483534
art_0093,2024-10-23T14:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,9.188161754128068,-1,9.888842167713962,8.9,0.85,0.9,0.3,0.2,3.287798466126043
art_0094,2024-10-24T14:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,6.389814630238549,1,8.587287576344638,7.2,0.75,0.8,0.6,0.4,-1.814992496502673
art_0095,2024-10-24T12:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,6.535229612985294,1,8.249217267043539,8.9,0.85,0.9,0.3,0.2,0.8331596691345027
art_0096,2024-10-25T13:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,5.532793467482124,-1,7.646769320002438,7.2,0.75,0.8,0.6,0.4,0.3399926512296876
art_0097,2024-10-25T16:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,8.945382748530982,-1,9.01543303041527,8.9,0.85,0.9,0.3,0.2,2.9872047786534175
art_0098,2024-10-26T14:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,8.093575544389658,-1,8.323863320362697,7.2,0.75,0.8,0.6,0.4,-1.199147003139216
art_0099,2024-10-26T13:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,6.444316571011255,-1,9.521654059498552,8.9,0.85,0.9,0.3,0.2,-2.0108817883087005
art_0100,2024-10-27T13:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,6.493285353498919,-1,7.845740080749601,7.2,0.75,0.8,0.6,0.4,1.2329080590501196
art_0101,2024-10-27T11:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,9.48643114176378,-1,9.840378630856653,8.9,0.85,0.9,0.3,0.2,4.499558840723191
art_0102,2024-10-28T12:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,5.868365080471095,-1,8.116604061709882,7.2,0.75,0.8,0.6,0.4,2.9647461726948308
art_0103,2024-10-28T10:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,8.124748717514034,-1,10.0,8.9,0.85,0.9,0.3,0.2,-4.925684737056118
art_0104,2024-10-29T13:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,5.820402221171262,-1,8.057994137705606,7.2,0.75,0.8,0.6,0.4,3.2875819698668423
art_0105,2024-10-29T10:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,7.708613857088751,-1,9.549481897239318,8.9,0.85,0.9,0.3,0.2,-0.09929947084137769
art_0106,2024-10-30T10:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,8.035373208293786,-1,9.125771668489625,7.2,0.75,0.8,0.6,0.4,4.576735257288659
art_0107,2024-10-30T13:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,7.237567741628439,-1,8.408406851996325,8.9,0.85,0.9,0.3,0.2,-0.44596873201927956
art_0108,2024-10-31T16:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,6.300088507624906,-1,9.317574738922316,7.2,0.75,0.8,0.6,0.4,0.5719904536565803
art_0109,2024-10-31T09:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,9.952988218696849,-1,8.188811874775176,8.9,0.85,0.9,0.3,0.2,-3.4016478995806896
art_0110,2024-10-32T11:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,8.89210197533411,1,8.140768115112106,7.2,0.75,0.8,0.6,0.4,2.1262843297951672
art_0111,2024-10-32T09:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,8.417889292712838,1,8.668946039490622,8.9,0.85,0.9,0.3,0.2,3.8773963777181866
art_0112,2024-10-33T14:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,8.40195913708955,-1,8.108902149394059,7.2,0.75,0.8,0.6,0.4,2.2324965255566394
art_0113,2024-10-33T10:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,7.168140562198598,1,10.0,8.9,0.85,0.9,0.3,0.2,0.3748945006801794
art_0114,2024-10-34T09:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,6.207603139193692,-1,8.136566705115836,7.2,0.75,0.8,0.6,0.4,-1.7758175414247668
art_0115,2024-10-34T11:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,8.109198994494333,-1,9.992585452243157,8.9,0.85,0.9,0.3,0.2,-1.4272344791141975
art_0116,2024-10-35T11:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,7.19031644756925,1,9.31518117937279,7.2,0.75,0.8,0.6,0.4,-2.9495095275592487
art_0117,2024-10-35T15:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,9.941039960477212,1,9.918440704957838,8.9,0.85,0.9,0.3,0.2,-1.6881280529568188
art_0118,2024-10-36T13:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,8.694426263381214,-1,7.676982279848944,7.2,0.75,0.8,0.6,0.4,-4.762932338620248
art_0119,2024-10-36T10:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,7.335289603595728,1,8.644083487582627,8.9,0.85,0.9,0.3,0.2,4.161179193351174
art_0120,2024-11-07T13:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,6.1724678497816114,1,7.595973110129216,7.2,0.75,0.8,0.6,0.4,-2.572986748409105
art_0121,2024-11-07T10:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,8.533218387382487,1,8.656961081029829,8.9,0.85,0.9,0.3,0.2,3.3991105241807453
art_0122,2024-11-08T14:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,6.716088647541713,1,7.880985107482096,7.2,0.75,0.8,0.6,0.4,4.829242871855797
art_0123,2024-11-08T10:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,7.6253275029171865,-1,9.612810407107368,8.9,0.85,0.9,0.3,0.2,-3.558083226222575
art_0124,2024-11-09T16:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,6.913039766664078,-1,8.598852063316125,7.2,0.75,0.8,0.6,0.4,2.4370135177474053
art_0125,2024-11-09T11:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,10.093437289646182,1,8.128745752770696,8.9,0.85,0.9,0.3,0.2,4.842472468570195
art_0126,2024-11-10T11:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,5.746479641293215,-1,7.724589390015206,7.2,0.75,0.8,0.6,0.4,3.156713334043536
art_0127,2024-11-10T11:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,6.501202594402741,-1,9.760413435326782,8.9,0.85,0.9,0.3,0.2,-3.543727142844765
art_0128,2024-11-11T12:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,7.714924780869701,1,7.883316527991639,7.2,0.75,0.8,0.6,0.4,1.2883686777941872
art_0129,2024-11-11T15:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,7.933811570339336,1,9.546392166641613,8.9,0.85,0.9,0.3,0.2,-3.13562960124984
art_0130,2024-11-12T15:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,6.262119711406945,-1,9.468649304971752,7.2,0.75,0.8,0.6,0.4,-1.4996206134731684
art_0131,2024-11-12T16:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,9.48117467336483,1,8.902985534586122,8.9,0.85,0.9,0.3,0.2,-4.455062062497571
art_0132,2024-11-13T09:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,6.497478000740593,-1,8.316436840472726,7.2,0.75,0.8,0.6,0.4,0.7138361247821399
art_0133,2024-11-13T15:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,9.004734892937837,-1,9.824832099457627,8.9,0.85,0.9,0.3,0.2,4.315069707750437
