feature,lgb_importance,correlation_with_target,correlation_direction,abs_correlation,feature_mean,feature_std,feature_range,technical_category,feature_category,specific_feature
gaming_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,gaming
emotion_concern_present,0,,neutral,,0.0,0.0,0.0,emotion_flag,Emotional Profile,concern
macroeconomic_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,macroeconomic
tariff_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,tariff
india_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,india
china_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,china
streaming_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,streaming
emotion_uncertainty_present,0,,neutral,,0.0,0.0,0.0,emotion_flag,Emotional Profile,uncertainty
emotion_dread_present,0,,neutral,,0.0,0.0,0.0,emotion_flag,Emotional Profile,dread
emotion_skepticism_present,0,,neutral,,0.0,0.0,0.0,emotion_flag,Emotional Profile,skepticism
bias_confirmation_bias_present,0,,neutral,,0.0,0.0,0.0,bias_flag,Cognitive Biases,confirmation
bias_survivorship_bias_present,0,,neutral,,0.0,0.0,0.0,bias_flag,Cognitive Biases,survivorship
bias_planning_fallacy_present,0,,neutral,,0.0,0.0,0.0,bias_flag,Cognitive Biases,planning_fallacy
bias_halo_effect_present,0,,neutral,,0.0,0.0,0.0,bias_flag,Cognitive Biases,halo_effect
bias_authority_bias_present,0,,neutral,,0.0,0.0,0.0,bias_flag,Cognitive Biases,authority
bias_herding_behavior_present,0,,neutral,,0.0,0.0,0.0,bias_flag,Cognitive Biases,herding_behavior
bias_recency_bias_present,0,,neutral,,0.0,0.0,0.0,bias_flag,Cognitive Biases,recency
bias_hindsight_bias_present,0,,neutral,,0.0,0.0,0.0,bias_flag,Cognitive Biases,hindsight
bias_sunk_cost_fallacy_present,0,,neutral,,0.0,0.0,0.0,bias_flag,Cognitive Biases,sunk_cost_fallacy
bias_loss_aversion_present,0,,neutral,,0.0,0.0,0.0,bias_flag,Cognitive Biases,loss_aversion
bias_overconfidence_bias_present,0,,neutral,,0.0,0.0,0.0,bias_flag,Cognitive Biases,overconfidence
bias_optimism_bias_present,0,,neutral,,0.0,0.0,0.0,bias_flag,Cognitive Biases,optimism
bias_anchoring_bias_present,0,,neutral,,0.0,0.0,0.0,bias_flag,Cognitive Biases,anchoring
emotion_disappointment_present,0,,neutral,,0.0,0.0,0.0,emotion_flag,Emotional Profile,disappointment
bias_availability_heuristic_present,0,,neutral,,0.0,0.0,0.0,bias_flag,Cognitive Biases,availability_heuristic
emotion_complacency_present,0,,neutral,,0.0,0.0,0.0,emotion_flag,Emotional Profile,complacency
ecommerce_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,ecommerce
emotion_panic_present,0,,neutral,,0.0,0.0,0.0,emotion_flag,Emotional Profile,panic
emotion_euphoria_present,0,,neutral,,0.0,0.0,0.0,emotion_flag,Emotional Profile,euphoria
emotion_greed_present,0,,neutral,,0.0,0.0,0.0,emotion_flag,Emotional Profile,greed
emotion_FOMO_present,0,,neutral,,0.0,0.0,0.0,emotion_flag,Emotional Profile,FOMO
emotion_indifference_present,0,,neutral,,0.0,0.0,0.0,emotion_flag,Emotional Profile,indifference
emotion_disgust_present,0,,neutral,,0.0,0.0,0.0,emotion_flag,Emotional Profile,disgust
emotion_anger_present,0,,neutral,,0.0,0.0,0.0,emotion_flag,Emotional Profile,anger
emotion_fear_present,0,,neutral,,0.0,0.0,0.0,emotion_flag,Emotional Profile,fear
financial_services_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,financial_services
legal_ruling_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,legal_ruling
advertising_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,advertising
article_author_credibility,0,0.06336511196677162,positive,0.06336511196677162,0.21359467132561694,0.104969593885512,0.5,numerical,Extended Numerical,article_author_credibility
vr_ar_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,vr_ar
blockchain_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,blockchain
cybersecurity_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,cybersecurity
data_center_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,data_center
cloud_services_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,cloud_services
semiconductor_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,semiconductor
software_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,software
hardware_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,hardware
ai_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,ai
factor_about_time_days,0,0.012825536933346527,positive,0.012825536933346527,100.71795151779865,204.36922789752535,3650.0,numerical,Extended Numerical,factor_about_time_days
factor_effect_horizon_days,0,0.013747417025214747,positive,0.013747417025214747,242.0523039965058,318.31922391096555,7300.0,numerical,Extended Numerical,factor_effect_horizon_days
market_consensus_on_causality,0,0.009434650339627332,positive,0.009434650339627332,0.724563223411225,0.13498004936474584,0.9,numerical,Extended Numerical,market_consensus_on_causality
space_tech_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,space_tech
logical_directness,0,0.005249560340588656,positive,0.005249560340588656,0.785449879886438,0.135555956455049,0.7,numerical,Extended Numerical,logical_directness
narrative_disruption,0,-0.07201547991577101,negative,0.07201547991577101,0.28914064206158546,0.12847656895586035,0.8,numerical,Extended Numerical,narrative_disruption
perception_gap_risk_awareness,0,0.006130655642152246,positive,0.006130655642152246,0.4350131032976632,0.3004838565426861,1.5,numerical,Extended Numerical,perception_gap_risk_awareness
ai_assessment_timeline_realism,0,0.005691426521817309,positive,0.005691426521817309,0.7395501201135618,0.11915483858879028,1.0,numerical,Extended Numerical,ai_assessment_timeline_realism
ai_assessment_competitive_risk,0,-0.05099325227439945,negative,0.05099325227439945,0.4093852369512994,0.1620992429374249,0.9,numerical,Extended Numerical,ai_assessment_competitive_risk
ai_assessment_execution_risk,0,-0.015828555629180664,negative,0.015828555629180664,0.26273749727014634,0.1331245425089591,0.9,numerical,Extended Numerical,ai_assessment_execution_risk
market_perception_narrative_strength,0,0.0013491826308840314,positive,0.0013491826308840314,0.5336208779209433,0.1275383878375046,0.8,numerical,Extended Numerical,market_perception_narrative_strength
market_perception_intensity,0,-0.015742152943897816,negative,0.015742152943897816,0.508402489626556,0.1515278126203704,0.95,numerical,Core Numerical,market_perception_intensity
causal_certainty,0,0.004185400033503565,positive,0.004185400033503565,0.7894736842105262,0.1453645679404901,0.8,numerical,Core Numerical,causal_certainty
factor_movement,0,-0.0025882493899809333,negative,0.0025882493899809333,0.24252020091723084,0.9494348418513792,2.0,numerical,Core Numerical,factor_movement
event_trigger,0,-0.04558777060909296,negative,0.04558777060909296,2.8411225158331512,0.7664923076144406,4.0,categorical,Core Categorical,event_trigger
autonomous_tech_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,autonomous_tech
earnings_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,earnings
brand_reputation_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,brand_reputation
acquisition_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,acquisition
customer_demand_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,customer_demand
market_share_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,market_share
compliance_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,compliance
privacy_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,privacy
export_controls_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,export_controls
trade_policy_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,trade_policy
government_policy_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,government_policy
antitrust_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,antitrust
consolidated_factor_name,0,-0.009744121413749392,negative,0.009744121413749392,25.17307272330203,14.005368320251657,48.0,categorical,Core Categorical,consolidated_factor_name
regulatory_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,regulatory
competitive_pressure_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,competitive_pressure
partnership_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,partnership
revenue_growth_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,revenue_growth
business_strategy_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,business_strategy
supply_chain_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,supply_chain
manufacturing_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,manufacturing
product_launch_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,product_launch
product_innovation_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,product_innovation
investment_strategy_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,investment_strategy
capital_allocation_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,capital_allocation
investor_sentiment_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,investor_sentiment
market_sentiment_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,market_sentiment
valuation_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,valuation
operating_margin_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,operating_margin
bias_dunning_kruger_effect_present,0,,neutral,,0.0,0.0,0.0,bias_flag,Cognitive Biases,dunning_kruger_effect
