feature,specific_feature,feature_category,rf_importance,lgb_importance,combined_rank,correlation_with_target,correlation_direction,abs_correlation,feature_mean,feature_std,feature_range,technical_category
factor_category,factor_category,Core Categorical,0.0045942079982531706,1,22,-0.0069636172689833365,negative,0.0069636172689833365,3.5100458615418213,2.4355529741546427,10.0,categorical
ai_assessment_fundamental_strength,ai_assessment_fundamental_strength,Extended Numerical,0.0043486030813773,1,23,-0.010064088487729484,negative,0.010064088487729484,0.7677931862852151,0.13393682826133835,1.0,numerical
factor_effect_horizon_days,factor_effect_horizon_days,Extended Numerical,0.012331978932603668,0,24,0.013747417025214747,positive,0.013747417025214747,242.0523039965058,318.31922391096555,7300.0,numerical
reframing_potential,reframing_potential,Extended Numerical,0.00385220644810287,1,25,-0.007664545759800913,negative,0.007664545759800913,0.5194256387857611,0.12709495051080427,0.8,numerical
factor_orientation,factor_orientation,Core Categorical,0.0027036002242497746,1,26,0.008294020332977098,positive,0.008294020332977098,1.1990609303341342,0.43667610908297166,2.0,categorical
ai_assessment_competitive_risk,ai_assessment_competitive_risk,Extended Numerical,0.009248851063681987,0,27,-0.05099325227439945,negative,0.05099325227439945,0.4093852369512994,0.1620992429374249,0.9,numerical
consolidated_factor_name,consolidated_factor_name,Core Categorical,0.0056503889092094205,0,28,-0.009744121413749392,negative,0.009744121413749392,25.17307272330203,14.005368320251657,48.0,categorical
narrative_disruption,narrative_disruption,Extended Numerical,0.00464960957881001,0,29,-0.07201547991577101,negative,0.07201547991577101,0.28914064206158546,0.12847656895586035,0.8,numerical
evidence_level,evidence_level,Core Categorical,0.0006167341311102666,1,30,-0.012163003755286258,negative,0.012163003755286258,0.8470189997816117,0.6382885016043577,2.0,categorical
factor_movement,factor_movement,Core Numerical,0.003613767884476504,0,31,-0.0025882493899809333,negative,0.0025882493899809333,0.24252020091723084,0.9494348418513792,2.0,numerical
market_perception_intensity,market_perception_intensity,Core Numerical,0.002657138482366936,0,32,-0.015742152943897816,negative,0.015742152943897816,0.508402489626556,0.1515278126203704,0.95,numerical
factor_about_time_days,factor_about_time_days,Extended Numerical,0.0024483636897658523,0,33,0.012825536933346527,positive,0.012825536933346527,100.71795151779865,204.36922789752535,3650.0,numerical
ai_assessment_timeline_realism,ai_assessment_timeline_realism,Extended Numerical,0.0021258487830911805,0,34,0.005691426521817309,positive,0.005691426521817309,0.7395501201135618,0.11915483858879028,1.0,numerical
market_perception_narrative_strength,market_perception_narrative_strength,Extended Numerical,0.0021080487183982753,0,35,0.0013491826308840314,positive,0.0013491826308840314,0.5336208779209433,0.1275383878375046,0.8,numerical
causal_certainty,causal_certainty,Core Numerical,0.0018968127440714521,0,36,0.004185400033503565,positive,0.004185400033503565,0.7894736842105262,0.1453645679404901,0.8,numerical
market_consensus_on_causality,market_consensus_on_causality,Extended Numerical,0.0018428579731541881,0,37,0.009434650339627332,positive,0.009434650339627332,0.724563223411225,0.13498004936474584,0.9,numerical
ai_assessment_execution_risk,ai_assessment_execution_risk,Extended Numerical,0.0015792732335190927,0,38,-0.015828555629180664,negative,0.015828555629180664,0.26273749727014634,0.1331245425089591,0.9,numerical
logical_directness,logical_directness,Extended Numerical,0.00128599950269551,0,39,0.005249560340588656,positive,0.005249560340588656,0.785449879886438,0.135555956455049,0.7,numerical
emotion_excitement_present,excitement,Emotional Profile,0.0,0,40,,neutral,,0.0,0.0,0.0,emotion_flag
emotion_concern_present,concern,Emotional Profile,0.0,0,41,,neutral,,0.0,0.0,0.0,emotion_flag
emotion_uncertainty_present,uncertainty,Emotional Profile,0.0,0,42,,neutral,,0.0,0.0,0.0,emotion_flag
emotion_skepticism_present,skepticism,Emotional Profile,0.0,0,43,,neutral,,0.0,0.0,0.0,emotion_flag
emotion_surprise_present,surprise,Emotional Profile,0.0,0,44,,neutral,,0.0,0.0,0.0,emotion_flag
emotion_interest_present,interest,Emotional Profile,0.0,0,45,,neutral,,0.0,0.0,0.0,emotion_flag
emotion_satisfaction_present,satisfaction,Emotional Profile,0.0,0,46,,neutral,,0.0,0.0,0.0,emotion_flag
emotion_relief_present,relief,Emotional Profile,0.0,0,47,,neutral,,0.0,0.0,0.0,emotion_flag
emotion_confidence_present,confidence,Emotional Profile,0.0,0,48,,neutral,,0.0,0.0,0.0,emotion_flag
emotion_optimism_present,optimism,Emotional Profile,0.0,0,49,,neutral,,0.0,0.0,0.0,emotion_flag
cost_increase_tag_present,cost_increase,Event Tags,0.0,0,50,,neutral,,0.0,0.0,0.0,event_tag_flag
emotion_anticipation_present,anticipation,Emotional Profile,0.0,0,51,,neutral,,0.0,0.0,0.0,emotion_flag
economic_conditions_tag_present,economic_conditions,Event Tags,0.0,0,52,,neutral,,0.0,0.0,0.0,event_tag_flag
regulatory_change_tag_present,regulatory_change,Event Tags,0.0,0,53,,neutral,,0.0,0.0,0.0,event_tag_flag
supply_disruption_tag_present,supply_disruption,Event Tags,0.0,0,54,,neutral,,0.0,0.0,0.0,event_tag_flag
corporate_strategy_tag_present,corporate_strategy,Event Tags,0.0,0,55,,neutral,,0.0,0.0,0.0,event_tag_flag
shareholder_relations_tag_present,shareholder_relations,Event Tags,0.0,0,56,,neutral,,0.0,0.0,0.0,event_tag_flag
leadership_tag_present,leadership,Event Tags,0.0,0,57,,neutral,,0.0,0.0,0.0,event_tag_flag
executive_change_tag_present,executive_change,Event Tags,0.0,0,58,,neutral,,0.0,0.0,0.0,event_tag_flag
currency_tag_present,currency,Event Tags,0.0,0,59,,neutral,,0.0,0.0,0.0,event_tag_flag
emotion_fear_present,fear,Emotional Profile,0.0,0,60,,neutral,,0.0,0.0,0.0,emotion_flag
emotion_disappointment_present,disappointment,Emotional Profile,0.0,0,61,,neutral,,0.0,0.0,0.0,emotion_flag
bias_herding_behavior_present,herding_behavior,Cognitive Biases,0.0,0,62,,neutral,,0.0,0.0,0.0,bias_flag
emotion_anger_present,anger,Emotional Profile,0.0,0,63,,neutral,,0.0,0.0,0.0,emotion_flag
emotion_disgust_present,disgust,Emotional Profile,0.0,0,64,,neutral,,0.0,0.0,0.0,emotion_flag
bias_survivorship_bias_present,survivorship,Cognitive Biases,0.0,0,65,,neutral,,0.0,0.0,0.0,bias_flag
bias_planning_fallacy_present,planning_fallacy,Cognitive Biases,0.0,0,66,,neutral,,0.0,0.0,0.0,bias_flag
bias_halo_effect_present,halo_effect,Cognitive Biases,0.0,0,67,,neutral,,0.0,0.0,0.0,bias_flag
bias_authority_bias_present,authority,Cognitive Biases,0.0,0,68,,neutral,,0.0,0.0,0.0,bias_flag
tariff_tag_present,tariff,Event Tags,0.0,0,69,,neutral,,0.0,0.0,0.0,event_tag_flag
bias_recency_bias_present,recency,Cognitive Biases,0.0,0,70,,neutral,,0.0,0.0,0.0,bias_flag
bias_hindsight_bias_present,hindsight,Cognitive Biases,0.0,0,71,,neutral,,0.0,0.0,0.0,bias_flag
bias_sunk_cost_fallacy_present,sunk_cost_fallacy,Cognitive Biases,0.0,0,72,,neutral,,0.0,0.0,0.0,bias_flag
bias_loss_aversion_present,loss_aversion,Cognitive Biases,0.0,0,73,,neutral,,0.0,0.0,0.0,bias_flag
bias_overconfidence_bias_present,overconfidence,Cognitive Biases,0.0,0,74,,neutral,,0.0,0.0,0.0,bias_flag
bias_optimism_bias_present,optimism,Cognitive Biases,0.0,0,75,,neutral,,0.0,0.0,0.0,bias_flag
bias_confirmation_bias_present,confirmation,Cognitive Biases,0.0,0,76,,neutral,,0.0,0.0,0.0,bias_flag
bias_anchoring_bias_present,anchoring,Cognitive Biases,0.0,0,77,,neutral,,0.0,0.0,0.0,bias_flag
bias_availability_heuristic_present,availability_heuristic,Cognitive Biases,0.0,0,78,,neutral,,0.0,0.0,0.0,bias_flag
emotion_complacency_present,complacency,Emotional Profile,0.0,0,79,,neutral,,0.0,0.0,0.0,emotion_flag
emotion_dread_present,dread,Emotional Profile,0.0,0,80,,neutral,,0.0,0.0,0.0,emotion_flag
emotion_panic_present,panic,Emotional Profile,0.0,0,81,,neutral,,0.0,0.0,0.0,emotion_flag
emotion_euphoria_present,euphoria,Emotional Profile,0.0,0,82,,neutral,,0.0,0.0,0.0,emotion_flag
emotion_greed_present,greed,Emotional Profile,0.0,0,83,,neutral,,0.0,0.0,0.0,emotion_flag
emotion_FOMO_present,FOMO,Emotional Profile,0.0,0,84,,neutral,,0.0,0.0,0.0,emotion_flag
emotion_indifference_present,indifference,Emotional Profile,0.0,0,85,,neutral,,0.0,0.0,0.0,emotion_flag
macroeconomic_tag_present,macroeconomic,Event Tags,0.0,0,86,,neutral,,0.0,0.0,0.0,event_tag_flag
legal_ruling_tag_present,legal_ruling,Event Tags,0.0,0,87,,neutral,,0.0,0.0,0.0,event_tag_flag
india_tag_present,india,Event Tags,0.0,0,88,,neutral,,0.0,0.0,0.0,event_tag_flag
space_tech_tag_present,space_tech,Event Tags,0.0,0,89,,neutral,,0.0,0.0,0.0,event_tag_flag
product_innovation_tag_present,product_innovation,Event Tags,0.0,0,90,,neutral,,0.0,0.0,0.0,event_tag_flag
investment_strategy_tag_present,investment_strategy,Event Tags,0.0,0,91,,neutral,,0.0,0.0,0.0,event_tag_flag
capital_allocation_tag_present,capital_allocation,Event Tags,0.0,0,92,,neutral,,0.0,0.0,0.0,event_tag_flag
investor_sentiment_tag_present,investor_sentiment,Event Tags,0.0,0,93,,neutral,,0.0,0.0,0.0,event_tag_flag
market_sentiment_tag_present,market_sentiment,Event Tags,0.0,0,94,,neutral,,0.0,0.0,0.0,event_tag_flag
valuation_tag_present,valuation,Event Tags,0.0,0,95,,neutral,,0.0,0.0,0.0,event_tag_flag
operating_margin_tag_present,operating_margin,Event Tags,0.0,0,96,,neutral,,0.0,0.0,0.0,event_tag_flag
revenue_growth_tag_present,revenue_growth,Event Tags,0.0,0,97,,neutral,,0.0,0.0,0.0,event_tag_flag
earnings_tag_present,earnings,Event Tags,0.0,0,98,,neutral,,0.0,0.0,0.0,event_tag_flag
autonomous_tech_tag_present,autonomous_tech,Event Tags,0.0,0,99,,neutral,,0.0,0.0,0.0,event_tag_flag
manufacturing_tag_present,manufacturing,Event Tags,0.0,0,100,,neutral,,0.0,0.0,0.0,event_tag_flag
vr_ar_tag_present,vr_ar,Event Tags,0.0,0,101,,neutral,,0.0,0.0,0.0,event_tag_flag
blockchain_tag_present,blockchain,Event Tags,0.0,0,102,,neutral,,0.0,0.0,0.0,event_tag_flag
cybersecurity_tag_present,cybersecurity,Event Tags,0.0,0,103,,neutral,,0.0,0.0,0.0,event_tag_flag
data_center_tag_present,data_center,Event Tags,0.0,0,104,,neutral,,0.0,0.0,0.0,event_tag_flag
cloud_services_tag_present,cloud_services,Event Tags,0.0,0,105,,neutral,,0.0,0.0,0.0,event_tag_flag
semiconductor_tag_present,semiconductor,Event Tags,0.0,0,106,,neutral,,0.0,0.0,0.0,event_tag_flag
software_tag_present,software,Event Tags,0.0,0,107,,neutral,,0.0,0.0,0.0,event_tag_flag
hardware_tag_present,hardware,Event Tags,0.0,0,108,,neutral,,0.0,0.0,0.0,event_tag_flag
ai_tag_present,ai,Event Tags,0.0,0,109,,neutral,,0.0,0.0,0.0,event_tag_flag
product_launch_tag_present,product_launch,Event Tags,0.0,0,110,,neutral,,0.0,0.0,0.0,event_tag_flag
supply_chain_tag_present,supply_chain,Event Tags,0.0,0,111,,neutral,,0.0,0.0,0.0,event_tag_flag
china_tag_present,china,Event Tags,0.0,0,112,,neutral,,0.0,0.0,0.0,event_tag_flag
market_share_tag_present,market_share,Event Tags,0.0,0,113,,neutral,,0.0,0.0,0.0,event_tag_flag
geopolitical_tag_present,geopolitical,Event Tags,0.0,0,114,,neutral,,0.0,0.0,0.0,event_tag_flag
energy_tag_present,energy,Event Tags,0.0,0,115,,neutral,,0.0,0.0,0.0,event_tag_flag
streaming_tag_present,streaming,Event Tags,0.0,0,116,,neutral,,0.0,0.0,0.0,event_tag_flag
gaming_tag_present,gaming,Event Tags,0.0,0,117,,neutral,,0.0,0.0,0.0,event_tag_flag
financial_services_tag_present,financial_services,Event Tags,0.0,0,118,,neutral,,0.0,0.0,0.0,event_tag_flag
ecommerce_tag_present,ecommerce,Event Tags,0.0,0,119,,neutral,,0.0,0.0,0.0,event_tag_flag
advertising_tag_present,advertising,Event Tags,0.0,0,120,,neutral,,0.0,0.0,0.0,event_tag_flag
brand_reputation_tag_present,brand_reputation,Event Tags,0.0,0,121,,neutral,,0.0,0.0,0.0,event_tag_flag
customer_demand_tag_present,customer_demand,Event Tags,0.0,0,122,,neutral,,0.0,0.0,0.0,event_tag_flag
compliance_tag_present,compliance,Event Tags,0.0,0,123,,neutral,,0.0,0.0,0.0,event_tag_flag
business_strategy_tag_present,business_strategy,Event Tags,0.0,0,124,,neutral,,0.0,0.0,0.0,event_tag_flag
privacy_tag_present,privacy,Event Tags,0.0,0,125,,neutral,,0.0,0.0,0.0,event_tag_flag
export_controls_tag_present,export_controls,Event Tags,0.0,0,126,,neutral,,0.0,0.0,0.0,event_tag_flag
trade_policy_tag_present,trade_policy,Event Tags,0.0,0,127,,neutral,,0.0,0.0,0.0,event_tag_flag
government_policy_tag_present,government_policy,Event Tags,0.0,0,128,,neutral,,0.0,0.0,0.0,event_tag_flag
antitrust_tag_present,antitrust,Event Tags,0.0,0,129,,neutral,,0.0,0.0,0.0,event_tag_flag
regulatory_tag_present,regulatory,Event Tags,0.0,0,130,,neutral,,0.0,0.0,0.0,event_tag_flag
competitive_pressure_tag_present,competitive_pressure,Event Tags,0.0,0,131,,neutral,,0.0,0.0,0.0,event_tag_flag
acquisition_tag_present,acquisition,Event Tags,0.0,0,132,,neutral,,0.0,0.0,0.0,event_tag_flag
partnership_tag_present,partnership,Event Tags,0.0,0,133,,neutral,,0.0,0.0,0.0,event_tag_flag
bias_dunning_kruger_effect_present,dunning_kruger_effect,Cognitive Biases,0.0,0,134,,neutral,,0.0,0.0,0.0,bias_flag
