feature,correlation,p_value,present_count,present_percentage,alpha_when_present,alpha_when_absent,alpha_difference
energy_present,,,0,0.0,,-0.021446341049383012,
geopolitical_present,,,0,0.0,,-0.021446341049383012,
china_present,,,0,0.0,,-0.021446341049383012,
india_present,,,0,0.0,,-0.021446341049383012,
tariff_present,,,0,0.0,,-0.021446341049383012,
macroeconomic_present,,,0,0.0,,-0.021446341049383012,
currency_present,,,0,0.0,,-0.021446341049383012,
executive_change_present,,,0,0.0,,-0.021446341049383012,
leadership_present,,,0,0.0,,-0.021446341049383012,
shareholder_relations_present,,,0,0.0,,-0.021446341049383012,
corporate_strategy_present,,,0,0.0,,-0.021446341049383012,
cost_increase_present,,,0,0.0,,-0.021446341049383012,
supply_disruption_present,,,0,0.0,,-0.021446341049383012,
regulatory_change_present,,,0,0.0,,-0.021446341049383012,
economic_conditions_present,,,0,0.0,,-0.021446341049383012,
analyst_update_present,0.01306907928174316,0.1522703854508134,2421,20.175,0.053697749019881225,-0.04043828614361923,0.09413603516350046
financial_markets_present,0.006551634207854757,0.47298637611903765,1708,14.233333333333334,0.025041860233015353,-0.02916125047324003,0.054203110706255386
earnings_report_present,0.008391655326454896,0.3580013230816916,2355,19.625,0.027643366328067683,-0.033432474888045155,0.06107584121611284
investment_change_present,,,0,0.0,,-0.021446341049383012,
dividend_announcement_present,,,0,0.0,,-0.021446341049383012,
share_buyback_present,,,0,0.0,,-0.021446341049383012,
ipo_announcement_present,,,0,0.0,,-0.021446341049383012,
product_update_present,,,0,0.0,,-0.021446341049383012,
technology_update_present,,,0,0.0,,-0.021446341049383012,
research_development_present,,,0,0.0,,-0.021446341049383012,
market_update_present,-0.013850368580075129,0.12922968216058062,2458,20.483333333333334,-0.10032821931003784,-0.0011265279321445256,-0.09920169137789331
competitive_action_present,,,0,0.0,,-0.021446341049383012,
industry_conference_present,,,0,0.0,,-0.021446341049383012,
market_sentiment_shift_present,,,0,0.0,,-0.021446341049383012,
leadership_change_present,,,0,0.0,,-0.021446341049383012,
partnership_deal_present,,,0,0.0,,-0.021446341049383012,
corporate_restructuring_present,,,0,0.0,,-0.021446341049383012,
regulatory_action_present,,,0,0.0,,-0.021446341049383012,
compliance_update_present,,,0,0.0,,-0.021446341049383012,
policy_change_present,,,0,0.0,,-0.021446341049383012,
operational_change_present,,,0,0.0,,-0.021446341049383012,
manufacturing_update_present,,,0,0.0,,-0.021446341049383012,
supply_chain_change_present,,,0,0.0,,-0.021446341049383012,
capacity_expansion_present,,,0,0.0,,-0.021446341049383012,
trade_policy_change_present,,,0,0.0,,-0.021446341049383012,
geopolitical_event_present,,,0,0.0,,-0.021446341049383012,
macroeconomic_update_present,,,0,0.0,,-0.021446341049383012,
currency_change_present,,,0,0.0,,-0.021446341049383012,
business_strategy_update_present,,,0,0.0,,-0.021446341049383012,
market_expansion_present,,,0,0.0,,-0.021446341049383012,
brand_initiative_present,,,0,0.0,,-0.021446341049383012,
customer_program_launch_present,,,0,0.0,,-0.021446341049383012,
cybersecurity_incident_present,,,0,0.0,,-0.021446341049383012,
regulatory_investigation_present,,,0,0.0,,-0.021446341049383012,
reputational_event_present,,,0,0.0,,-0.021446341049383012,
shareholder_meeting_present,,,0,0.0,,-0.021446341049383012,
employee_event_present,,,0,0.0,,-0.021446341049383012,
customer_feedback_present,,,0,0.0,,-0.021446341049383012,
community_engagement_present,,,0,0.0,,-0.021446341049383012,
analyst_rating_change_present,,,0,0.0,,-0.021446341049383012,
revenue_growth_rate_present,0.005150381165075193,0.572658206431664,2491,20.758333333333333,0.00764120450693427,-0.02906618288141438,0.036707387388348646
earnings_per_share_present,,,0,0.0,,-0.021446341049383012,
cost_level_present,,,0,0.0,,-0.021446341049383012,
profitability_present,,,0,0.0,,-0.021446341049383012,
stock_price_present,,,0,0.0,,-0.021446341049383012,
market_volatility_present,,,0,0.0,,-0.021446341049383012,
valuation_multiple_present,,,0,0.0,,-0.021446341049383012,
brand_value_present,,,0,0.0,,-0.021446341049383012,
production_capacity_present,,,0,0.0,,-0.021446341049383012,
supply_availability_present,,,0,0.0,,-0.021446341049383012,
manufacturing_efficiency_present,,,0,0.0,,-0.021446341049383012,
operational_costs_present,,,0,0.0,,-0.021446341049383012,
product_quality_index_present,,,0,0.0,,-0.021446341049383012,
workforce_effectiveness_present,,,0,0.0,,-0.021446341049383012,
investment_level_present,,,0,0.0,,-0.021446341049383012,
capital_expenditure_present,,,0,0.0,,-0.021446341049383012,
r_and_d_spending_present,,,0,0.0,,-0.021446341049383012,
cash_flow_present,,,0,0.0,,-0.021446341049383012,
debt_level_present,,,0,0.0,,-0.021446341049383012,
product_innovation_rate_present,,,0,0.0,,-0.021446341049383012,
product_differentiation_present,,,0,0.0,,-0.021446341049383012,
technology_adoption_present,,,0,0.0,,-0.021446341049383012,
partnership_strength_present,,,0,0.0,,-0.021446341049383012,
innovation_pipeline_strength_present,,,0,0.0,,-0.021446341049383012,
distribution_effectiveness_present,,,0,0.0,,-0.021446341049383012,
customer_sentiment_present,0.0010407353016878627,0.9092417611421079,2385,19.875,-0.015406049741090763,-0.02294463483724333,0.0075385850961525655
customer_buying_power_present,,,0,0.0,,-0.021446341049383012,
customer_retention_rate_present,,,0,0.0,,-0.021446341049383012,
product_refresh_cycle_present,,,0,0.0,,-0.021446341049383012,
sales_efficiency_present,,,0,0.0,,-0.021446341049383012,
digital_engagement_level_present,,,0,0.0,,-0.021446341049383012,
analyst_confidence_present,,,0,0.0,,-0.021446341049383012,
market_perception_present,,,0,0.0,,-0.021446341049383012,
reputation_index_present,,,0,0.0,,-0.021446341049383012,
market_intelligence_index_present,,,0,0.0,,-0.021446341049383012,
tariff_impact_present,,,0,0.0,,-0.021446341049383012,
geopolitical_risk_present,,,0,0.0,,-0.021446341049383012,
macroeconomic_conditions_present,,,0,0.0,,-0.021446341049383012,
interest_rate_sensitivity_present,,,0,0.0,,-0.021446341049383012,
currency_exposure_present,,,0,0.0,,-0.021446341049383012,
technology_advancement_rate_present,,,0,0.0,,-0.021446341049383012,
digital_transformation_level_present,,,0,0.0,,-0.021446341049383012,
cybersecurity_risk_present,,,0,0.0,,-0.021446341049383012,
compliance_risk_present,,,0,0.0,,-0.021446341049383012,
supply_chain_risk_present,-0.006944605329157099,0.4468522131385687,2421,20.175,-0.06137616602784704,-0.011354462327923412,-0.05002170369992363
talent_retention_risk_present,,,0,0.0,,-0.021446341049383012,
technology_obsolescence_risk_present,,,0,0.0,,-0.021446341049383012,
regulatory_risk_present,,,0,0.0,,-0.021446341049383012,
technology_innovation_present,0.005176655665749668,0.5707013124929364,6880,57.333333333333336,-0.008537799265313615,-0.03879219407172625,0.030254394806412635
software_present,0.0016583375778311958,0.8558629161510805,1722,14.35,-0.00973523751483998,-0.023408446545246313,0.013673209030406332
